Process Date,Process ID,Artifact name,Library concentration (nM),Size (bp)
2020-05-22,24-91346,2186-20,12.7313267241,546
2020-05-22,24-91346,2188-20,11.6493721544,554
2020-05-22,24-91346,2189-20,13.3623451205,556
2020-05-22,24-91346,2251-20,13.4001648798,536
2020-05-22,24-91346,2253-20,15.480185039,545
2020-05-22,24-91346,2286-20,14.3807480542,555
2020-06-03,24-92044,2426-20,13.6367312609,564
2020-06-03,24-92044,2428-20,16.2519657015,576
2020-06-03,24-92044,2427-20,11.9617730169,555
2020-06-03,24-92044,2537-20,16.8518387752,542
2020-06-03,24-92044,2538-20,14.5458017748,535
2020-06-03,24-92044,2401-20,14.525719962,527
2020-06-03,24-92044,462-20,14.6956017238,551
2020-06-03,24-92044,481-20,17.8155796263,551
2020-06-03,24-92044,480-20,11.5485516193,540
2020-06-03,24-92044,2662-20,11.5977381947,543
2020-06-03,24-92044,2659-20,10.5829022591,540
2020-06-03,24-92044,2663-20,13.6575614616,540
2020-06-03,24-92044,2661-20,12.2449336422,549
2020-06-03,24-92044,43-14,11.4182636986,534
2020-06-03,24-92044,41-14,17.2748699746,545
2020-06-03,24-92044,42-14,12.7523701434,553
2020-06-03,24-92044,2738-20,18.8881482174,563
2020-06-03,24-92044,2741-20,11.1982757623,540
2020-06-03,24-92044,2739-20,13.2261087777,557
2020-06-03,24-92044,4376-20,13.0346536708,553
2020-06-03,24-92044,4411-20,14.311019248,551
2020-06-03,24-92044,4277-20,12.9535239887,553
2020-06-03,24-92044,4346-20,14.3796426692,545
2020-06-03,24-92044,4357-20,13.397530896,569
2020-06-03,24-92408,4167-20,11.3307479707,540
2020-06-03,24-92408,4270-20,14.4031854523,539
2020-06-03,24-92408,4171-20,13.0033151645,550
2020-06-03,24-92408,4261-20,11.2489615568,533
2020-06-03,24-92408,4143-20,11.6057947989,546
2020-06-03,24-92408,4161-20,12.2042167191,550
2020-06-03,24-92408,3548-10,11.8537456917,554
2020-06-03,24-92408,3549-10,13.5003299396,552
2020-06-03,24-92408,3550-10,11.4826759554,535
2020-06-03,24-92408,6047-15,11.4997307048,559
2020-06-03,24-92408,6049-15,13.6376860401,545
2020-06-03,24-92408,6051-15,14.2862440277,554
2020-06-03,24-92408,10921-18,10.5225175525,544
2020-06-03,24-92408,10922-18,10.7926446968,555
