Process Date,Process ID,Artifact name,Library concentration (nM),Size (bp)
2020-03-11,24-78206,11003-19,11.997594911181505,519
2020-03-11,24-78206,11173-19,11.572044102452372,527
2020-03-11,24-78206,10239-19,9.48626320169398,515
2020-03-11,24-78206,10240-19,12.086210103420408,539
2020-03-11,24-78206,9825-19,12.891049669751832,519
2020-03-11,24-79436,5490-19,13.837821936645089,519
2020-03-11,24-79436,5491-19,15.200407664592998,514
2020-03-11,24-79436,5492-19,16.420604814820454,528
2020-03-11,24-79436,8635-19,9.292613270626457,514
2020-03-11,24-79436,8636-19,11.133985410523751,501
2020-03-11,24-79436,8637-19,14.965978693526937,542
2020-03-11,24-79436,10253-19,13.638381944270039,514
2020-03-11,24-79436,11205-19,13.61930135647336,518
2020-03-11,24-79436,11257-19,11.887026033948217,533
2020-03-11,24-79436,11466-19,14.300878358615204,513
2020-03-11,24-79436,11515-19,13.175407831516031,524
2020-03-11,24-79436,11545-19,11.550299094431237,525
2020-03-11,24-79436,11655-19,11.41565253707353,544
2020-03-11,24-79436,11691-19,13.402011199150449,557
2020-03-11,24-79436,11734-19,16.054707099965555,511
2020-03-11,24-79436,11777-19,13.144649235418868,530
2020-03-11,24-79436,11824-19,13.778718923313555,546
2020-03-11,24-79436,11930-19,6.759220825699678,498
2020-03-11,24-79436,11955-19,10.47932393796326,577
2020-03-11,24-79436,12011-19,12.60827132326868,530
2020-03-11,24-79436,12061-19,13.700321222550382,524
2020-03-11,24-79436,12218-19,13.65756812995903,537
2020-03-11,24-79436,6593-13,14.811388084911647,541
2020-03-11,24-79436,71-20,10.72485640681639,537
2020-03-16,24-80501,5963-19,10.9490669279,560
2020-03-16,24-80501,6586-19,12.8032183645,551
2020-03-16,24-80501,27-19,13.6662002474,564
2020-03-16,24-80501,28-19,14.6881186562,553
2020-03-16,24-80501,10527-19,12.2610989578,556
2020-03-16,24-80501,128-20,7.76000565436,551
2020-03-16,24-80501,205-20,14.2366834057,547
2020-03-16,24-80501,221-20,12.7924366986,556
2020-03-16,24-80501,247-20,11.8788002382,556
2020-03-16,24-80501,248-20,13.735720837,550
2020-03-16,24-80501,294-20,13.3900416174,540
2020-03-16,24-80501,333-20,15.1648961267,555
2020-03-16,24-80501,458-20,12.8580557151,568
2020-03-16,24-80501,469-20,16.1198742853,551
2020-03-16,24-80501,509-20,14.3634696111,556
2020-03-16,24-80501,519-20,16.3811702325,543
2020-03-16,24-80501,526-20,11.6632998257,562
2020-03-16,24-80501,637-20,11.8764683337,553
2020-03-16,24-80501,658-20,13.7274863808,553
2020-03-16,24-80501,661-20,13.8136072053,580
2020-03-16,24-80501,690-20,14.0822264514,556
2020-03-16,24-80501,797-20,12.4290077719,550
2020-03-16,24-80501,798-20,13.2171009255,574
2020-03-16,24-80501,814-20,14.8008629527,574
2020-03-11,24-82305,3892-19,12.4803547072,547
2020-03-11,24-82305,6119-13,15.5336985912,553
2020-03-11,24-82305,6365-13,7.85431154053,525
2020-03-11,24-82305,6366-13,12.6339352707,542
2020-03-11,24-82305,6136-19,13.6428397703,543
2020-03-11,24-82305,6137-19,14.1380321266,528
2020-03-11,24-82305,6318-19,13.2038578634,540
2020-03-11,24-82305,6874-19,19.7150663678,555
2020-03-11,24-82305,6875-19,17.8759577494,539
2020-03-11,24-82305,7450-19,13.7928041723,535
2020-03-11,24-82305,7550-19,11.4568987027,543
2020-03-11,24-82305,7578-19,24.3532087085,550
2020-03-11,24-82305,8499-19,15.0109215343,555
2020-03-11,24-82305,8613-19,13.5113338779,541
2020-03-11,24-82305,8798-19,14.7593203481,546
2020-03-11,24-82305,8799-19,9.22654417646,491
2020-03-11,24-82305,8800-19,7.56831245474,544
2020-03-11,24-82305,9113-19,10.8864376081,551
2020-03-11,24-82305,9114-19,10.7403892586,548
